Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
55,Karyawan Beratahan,Travel_Rarely,836,Research & Development,8,Bachelor,Medical,Very High,Female,33,High,Advanced,Manager,High,Divorced,14756,19730,2,Yes,14,High,High,High,21,2,Excellent,5,0,0,2
53,Karyawan Beratahan,Travel_Rarely,102,Research & Development,23,Master,Life Sciences,Very High,Female,72,High,Advanced,Research Director,Very High,Single,14275,20206,6,No,18,High,High,Very High,33,0,Excellent,12,9,3,8
34,Karyawan Beratahan,Travel_Frequently,669,Research & Development,1,Bachelor,Medical,Very High,Male,97,Medium,Advanced,Healthcare Representative,Low,Single,5343,25755,0,No,20,Very High,High,Very High,14,3,Excellent,13,9,4,9
58,Karyawan Keluar,Travel_Rarely,289,Research & Development,2,Bachelor,Technical Degree,Very High,Male,51,High,Basic,Research Scientist,High,Single,2479,26227,4,No,24,Very High,Low,Very High,7,4,Excellent,1,0,0,0
34,Karyawan Beratahan,Travel_Frequently,618,Research & Development,3,Below College,Life Sciences,Low,Male,45,High,Advanced,Healthcare Representative,Very High,Single,7756,22266,0,No,17,High,High,Very High,7,1,Good,6,2,0,4
30,Karyawan Beratahan,Non-Travel,829,Research & Development,1,Below College,Life Sciences,High,Male,88,Medium,Intermediate ,Manufacturing Director,High,Single,8474,20925,1,No,22,Very High,High,Very High,12,2,Excellent,11,8,5,8
32,Karyawan Beratahan,Travel_Rarely,120,Research & Development,6,Doctor,Life Sciences,High,Male,43,High,Basic,Research Scientist,High,Single,3038,12430,3,No,20,Very High,Low,Very High,8,2,Excellent,5,4,1,4
36,Karyawan Beratahan,Travel_Rarely,1396,Research & Development,5,College,Life Sciences,Very High,Male,62,High,Advanced,Laboratory Technician,Medium,Single,5914,9945,8,No,16,High,Very High,Very High,16,3,Outstanding,13,11,3,7
40,Karyawan Beratahan,Travel_Frequently,1184,Sales,2,Master,Medical,Medium,Male,62,High,Advanced,Sales Executive,Medium,Married,4327,25440,5,No,12,High,Very High,High,5,2,Excellent,0,0,0,0
36,Karyawan Beratahan,Non-Travel,1105,Research & Development,24,Master,Life Sciences,Medium,Female,47,High,Advanced,Laboratory Technician,Medium,Married,5674,6927,7,No,15,High,High,Low,11,3,Excellent,9,8,0,8
21,Karyawan Beratahan,Travel_Rarely,391,Research & Development,15,College,Life Sciences,High,Male,96,High,Basic,Research Scientist,Very High,Single,1232,19281,1,No,14,High,Very High,Very High,0,6,Excellent,0,0,0,0
34,Karyawan Beratahan,Travel_Rarely,204,Sales,14,Bachelor,Technical Degree,High,Female,31,High,Basic,Sales Representative,High,Divorced,2579,2912,1,Yes,18,High,Very High,Medium,8,3,Excellent,8,2,0,6
34,Karyawan Beratahan,Travel_Rarely,665,Research & Development,6,Master,Other,Low,Female,41,High,Advanced,Research Scientist,High,Single,4809,12482,1,No,14,High,High,Very High,16,3,Excellent,16,13,2,10
39,Karyawan Beratahan,Travel_Rarely,1383,Human Resources,2,Bachelor,Life Sciences,Very High,Female,42,Medium,Advanced,Human Resources,Very High,Married,5204,7790,8,No,11,High,High,Medium,13,2,Excellent,5,4,0,4
45,Karyawan Beratahan,Travel_Rarely,549,Research & Development,8,Master,Other,Very High,Male,75,High,Advanced,Research Scientist,Very High,Married,3697,9278,9,No,14,High,Low,Medium,12,3,Excellent,10,9,9,8
31,Karyawan Keluar,Travel_Frequently,307,Research & Development,29,College,Medical,High,Male,71,Medium,Basic,Laboratory Technician,Medium,Single,3479,11652,0,No,11,High,Medium,Very High,6,2,Outstanding,5,4,1,4
38,Karyawan Beratahan,Travel_Rarely,1035,Sales,3,Master,Life Sciences,Medium,Male,42,High,Advanced,Sales Executive,Very High,Single,6861,4981,8,Yes,12,High,High,Very High,19,1,Excellent,1,0,0,0
31,Karyawan Beratahan,Travel_Frequently,1327,Research & Development,3,Master,Medical,Medium,Male,73,High,Intermediate ,Research Director,High,Divorced,13675,13523,9,No,12,High,Low,Low,9,3,Excellent,2,2,2,2
26,Karyawan Beratahan,Travel_Rarely,991,Research & Development,6,Bachelor,Life Sciences,High,Female,71,High,Basic,Laboratory Technician,Very High,Married,2659,17759,1,Yes,13,High,High,Low,3,2,Excellent,3,2,0,2
30,Karyawan Beratahan,Travel_Rarely,1138,Research & Development,6,Bachelor,Technical Degree,Low,Female,48,Medium,Advanced,Laboratory Technician,Very High,Married,4627,23631,0,No,12,High,Low,Low,10,6,Excellent,9,2,6,7
34,Karyawan Beratahan,Travel_Rarely,943,Research & Development,9,Bachelor,Life Sciences,Very High,Male,86,High,Intermediate ,Healthcare Representative,Very High,Divorced,8500,5494,0,No,11,High,Very High,Low,10,0,Good,9,7,1,6
35,Karyawan Beratahan,Travel_Rarely,735,Research & Development,6,Below College,Life Sciences,High,Male,66,High,Basic,Research Scientist,High,Married,3506,6020,0,Yes,14,High,Very High,Very High,4,3,Excellent,3,2,2,2
27,Karyawan Beratahan,Travel_Rarely,1240,Research & Development,2,Master,Life Sciences,Very High,Female,33,High,Basic,Laboratory Technician,Low,Divorced,2341,19715,1,No,13,High,Very High,Low,1,6,Excellent,1,0,0,0
31,Karyawan Beratahan,Travel_Rarely,691,Research & Development,5,Master,Technical Degree,High,Male,86,High,Basic,Research Scientist,Very High,Married,4821,10077,0,Yes,12,High,High,Low,6,4,Excellent,5,2,0,3
39,Karyawan Beratahan,Travel_Frequently,443,Research & Development,8,Below College,Life Sciences,High,Female,48,High,Basic,Laboratory Technician,High,Married,3755,17872,1,No,11,High,Low,Low,8,3,Excellent,8,3,0,7
29,Karyawan Beratahan,Travel_Rarely,1252,Research & Development,23,College,Life Sciences,High,Male,81,Very High,Basic,Research Scientist,High,Married,2700,23779,1,No,24,Very High,High,Low,10,3,Excellent,10,7,0,7
29,Karyawan Keluar,Travel_Rarely,121,Sales,27,Bachelor,Marketing,Medium,Female,35,High,Intermediate ,Sales Executive,Very High,Married,7639,24525,1,No,22,Very High,Very High,High,10,3,Good,10,4,1,9
44,Karyawan Keluar,Travel_Rarely,935,Research & Development,3,Bachelor,Life Sciences,Low,Male,89,High,Basic,Laboratory Technician,Low,Married,2362,14669,4,No,12,High,High,Very High,10,4,Outstanding,3,2,1,2
26,Karyawan Beratahan,Travel_Rarely,841,Research & Development,6,Bachelor,Other,High,Female,46,Medium,Basic,Research Scientist,Medium,Married,2368,23300,1,No,19,High,High,Very High,5,3,Good,5,4,4,3
48,Karyawan Beratahan,Travel_Rarely,163,Sales,2,Doctor,Marketing,Medium,Female,37,High,Advanced,Sales Executive,Very High,Married,4051,19658,2,No,14,High,Low,Low,14,2,Excellent,9,7,6,7
38,Karyawan Beratahan,Travel_Rarely,364,Research & Development,3,Doctor,Technical Degree,Very High,Female,32,High,Advanced,Research Scientist,High,Single,4317,2302,3,Yes,20,Very High,Medium,Very High,19,2,Excellent,3,2,2,2
23,Karyawan Keluar,Travel_Rarely,1243,Research & Development,6,Bachelor,Life Sciences,High,Male,63,Very High,Basic,Laboratory Technician,Low,Married,1601,3445,1,Yes,21,Very High,High,Medium,1,2,Excellent,0,0,0,0
50,Karyawan Beratahan,Travel_Rarely,939,Research & Development,24,Bachelor,Life Sciences,Very High,Male,95,High,Advanced,Manufacturing Director,High,Married,13973,4161,3,Yes,18,High,Very High,Low,22,2,Excellent,12,11,1,5
37,Karyawan Beratahan,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,High,Male,87,High,Intermediate ,Sales Executive,Very High,Single,7428,14506,2,No,12,High,Low,Very High,12,3,Excellent,5,3,1,3
31,Karyawan Beratahan,Travel_Rarely,1398,Human Resources,8,College,Medical,Very High,Female,96,Very High,Basic,Human Resources,Medium,Single,2109,24609,9,No,18,High,Very High,Very High,8,3,Excellent,3,2,0,2
49,Karyawan Keluar,Travel_Rarely,1184,Sales,11,Bachelor,Marketing,High,Female,43,High,Intermediate ,Sales Executive,Very High,Married,7654,5860,1,No,18,High,Low,Medium,9,3,Outstanding,9,8,7,7
34,Karyawan Beratahan,Travel_Frequently,135,Research & Development,19,Bachelor,Medical,High,Female,46,High,Advanced,Laboratory Technician,Medium,Divorced,4444,22534,4,No,13,High,High,Medium,15,2,Outstanding,11,8,5,10
41,Karyawan Keluar,Travel_Rarely,1102,Sales,1,College,Life Sciences,Medium,Female,94,High,Advanced,Sales Executive,Very High,Single,5993,19479,8,Yes,11,High,Low,Very High,8,0,Low,6,4,0,5
34,Karyawan Beratahan,Travel_Rarely,970,Research & Development,8,College,Medical,Medium,Female,96,High,Advanced,Healthcare Representative,High,Single,6142,7360,3,No,11,High,Very High,Very High,10,2,Excellent,5,1,4,3
39,Karyawan Beratahan,Travel_Frequently,505,Research & Development,2,Master,Technical Degree,High,Female,64,High,Intermediate ,Healthcare Representative,High,Single,10938,6420,0,No,25,Very High,Very High,Very High,20,1,Excellent,19,6,11,8
32,Karyawan Keluar,Travel_Frequently,1125,Research & Development,16,Below College,Life Sciences,Medium,Female,72,Low,Basic,Research Scientist,Low,Single,3919,4681,1,Yes,22,Very High,Medium,Very High,10,5,Excellent,10,2,6,7
37,Karyawan Beratahan,Travel_Frequently,889,Research & Development,9,Bachelor,Medical,Medium,Male,53,High,Basic,Research Scientist,Very High,Married,2326,11411,1,Yes,12,High,High,High,4,3,Good,4,2,1,2
30,Karyawan Keluar,Travel_Rarely,138,Research & Development,22,Bachelor,Life Sciences,Low,Female,48,High,Basic,Research Scientist,High,Married,2132,11539,4,Yes,11,High,Medium,Very High,7,2,Excellent,5,2,0,1
55,Karyawan Beratahan,Travel_Rarely,452,Research & Development,1,Bachelor,Medical,Very High,Male,81,High,Advanced,Manager,Low,Single,19045,18938,0,Yes,14,High,High,Very High,37,2,Excellent,36,10,4,13
37,Karyawan Beratahan,Travel_Rarely,1225,Research & Development,10,College,Life Sciences,Very High,Male,80,Very High,Basic,Research Scientist,Very High,Single,4680,15232,3,No,17,High,Low,Very High,4,2,Excellent,1,0,0,0
35,Karyawan Beratahan,Travel_Rarely,619,Sales,1,Bachelor,Marketing,Medium,Male,85,High,Advanced,Sales Executive,High,Married,4717,18659,9,No,11,High,High,Very High,15,2,Excellent,11,9,6,9
46,Karyawan Beratahan,Travel_Frequently,638,Research & Development,1,Bachelor,Medical,High,Male,40,Medium,Intermediate ,Healthcare Representative,Low,Married,10673,3142,2,Yes,13,High,High,Low,21,5,Good,10,9,9,5
36,Karyawan Beratahan,Travel_Rarely,922,Research & Development,3,College,Life Sciences,Low,Female,39,High,Basic,Laboratory Technician,Very High,Divorced,2835,2561,5,No,22,Very High,Low,Low,7,2,Excellent,1,0,0,0
24,Karyawan Beratahan,Non-Travel,1269,Research & Development,4,Below College,Life Sciences,Low,Male,46,Medium,Basic,Laboratory Technician,Very High,Married,3162,10778,0,No,17,High,Very High,Very High,6,2,Good,5,2,3,4
50,Karyawan Beratahan,Travel_Rarely,1464,Research & Development,2,Master,Medical,Medium,Male,62,High,Advanced,Research Director,High,Married,19237,12853,2,Yes,11,High,Very High,Low,29,2,Good,8,1,7,7
32,Karyawan Beratahan,Non-Travel,1184,Research & Development,1,Bachelor,Life Sciences,High,Female,70,Medium,Basic,Laboratory Technician,Medium,Married,2332,3974,6,No,20,Very High,High,Very High,5,3,Excellent,3,0,0,2
34,Karyawan Beratahan,Travel_Rarely,121,Research & Development,2,Master,Medical,High,Female,86,Medium,Basic,Research Scientist,Low,Single,4381,7530,1,No,11,High,High,Very High,6,3,Excellent,6,5,1,3
26,Karyawan Beratahan,Travel_Rarely,652,Research & Development,7,Bachelor,Other,High,Male,100,Very High,Basic,Laboratory Technician,Low,Single,3578,23577,0,No,12,High,Very High,Very High,8,2,Excellent,7,7,0,7
33,Karyawan Beratahan,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,High,Female,42,Very High,Advanced,Sales Executive,Low,Married,5376,3193,2,No,19,High,Low,Medium,10,3,Excellent,5,3,1,3
38,Karyawan Beratahan,Travel_Frequently,1391,Research & Development,10,Below College,Medical,High,Male,66,High,Basic,Research Scientist,High,Married,2684,12127,0,No,17,High,Medium,Low,3,0,Good,2,1,0,2
37,Karyawan Beratahan,Travel_Rarely,1462,Research & Development,11,Bachelor,Medical,Low,Female,94,High,Basic,Laboratory Technician,High,Single,3629,19106,4,No,18,High,Low,Very High,8,6,Excellent,3,2,0,2
35,Karyawan Beratahan,Travel_Rarely,1276,Research & Development,16,Bachelor,Life Sciences,Very High,Male,72,High,Intermediate ,Healthcare Representative,High,Married,7632,14295,4,Yes,12,High,High,Very High,10,2,Excellent,8,7,0,0
32,Karyawan Beratahan,Travel_Rarely,128,Research & Development,2,Below College,Technical Degree,Very High,Male,84,Medium,Advanced,Laboratory Technician,Low,Single,2176,19737,4,No,13,High,Very High,Very High,9,5,Excellent,6,2,0,4
38,Karyawan Beratahan,Travel_Frequently,240,Research & Development,2,Master,Life Sciences,Low,Female,75,Very High,Advanced,Manufacturing Director,Low,Single,5980,26085,6,Yes,12,High,Very High,Very High,17,2,Excellent,15,7,4,12
39,Karyawan Beratahan,Travel_Rarely,117,Research & Development,10,Below College,Medical,High,Male,99,High,Advanced,Manager,Low,Married,17068,5355,1,Yes,14,High,Very High,Very High,21,3,Excellent,21,9,11,10
33,Karyawan Beratahan,Travel_Rarely,117,Research & Development,9,Bachelor,Medical,Low,Male,60,High,Basic,Research Scientist,Very High,Married,2781,6311,0,No,13,High,Medium,Low,15,5,Excellent,14,10,4,10
59,Karyawan Beratahan,Travel_Rarely,326,Sales,3,Bachelor,Life Sciences,High,Female,48,Medium,Advanced,Sales Executive,Very High,Single,5171,16490,5,No,17,High,Very High,Very High,13,2,Excellent,6,1,0,5
36,Karyawan Beratahan,Travel_Rarely,928,Sales,1,College,Life Sciences,Medium,Male,56,High,Advanced,Sales Executive,Very High,Married,6201,2823,1,Yes,14,High,Very High,Low,18,1,Good,18,14,4,11
37,Karyawan Beratahan,Travel_Frequently,663,Research & Development,11,Bachelor,Other,Medium,Male,47,High,Intermediate ,Research Director,Very High,Divorced,12185,10056,1,Yes,14,High,High,High,10,1,Excellent,10,8,0,7
28,Karyawan Beratahan,Travel_Rarely,1117,Research & Development,8,College,Life Sciences,Very High,Female,66,High,Basic,Research Scientist,Very High,Single,3310,4488,1,No,21,Very High,Very High,Very High,5,3,Excellent,5,3,0,2
49,Karyawan Beratahan,Travel_Rarely,1245,Research & Development,18,Master,Life Sciences,Very High,Male,58,Medium,Advanced,Research Director,High,Divorced,19502,2125,1,Yes,17,High,High,Low,31,5,Excellent,31,9,0,9
34,Karyawan Beratahan,Travel_Rarely,254,Research & Development,1,College,Life Sciences,Medium,Male,83,Medium,Basic,Research Scientist,Very High,Married,3622,22794,1,Yes,13,High,Very High,Low,6,3,Excellent,6,5,1,3
35,Karyawan Keluar,Travel_Rarely,1204,Sales,4,Bachelor,Technical Degree,Very High,Male,86,High,Intermediate ,Sales Executive,Low,Single,9582,10333,0,Yes,22,Very High,Low,Very High,9,2,Excellent,8,7,4,7
27,Karyawan Beratahan,Travel_Frequently,994,Sales,8,Bachelor,Life Sciences,Very High,Male,37,High,Intermediate ,Sales Executive,High,Single,8726,2975,1,No,15,High,Very High,Very High,9,0,Excellent,9,8,1,7
48,Karyawan Beratahan,Travel_Rarely,1355,Research & Development,4,Master,Life Sciences,High,Male,78,Medium,Intermediate ,Healthcare Representative,High,Single,10999,22245,7,No,14,High,Medium,Very High,27,3,Excellent,15,11,4,8
41,Karyawan Beratahan,Travel_Rarely,933,Research & Development,9,Master,Life Sciences,High,Male,94,High,Basic,Laboratory Technician,Low,Married,2238,6961,2,No,21,Very High,Very High,Low,7,2,Excellent,5,0,1,4
36,Karyawan Beratahan,Travel_Frequently,469,Research & Development,3,Bachelor,Technical Degree,High,Male,46,High,Basic,Research Scientist,Medium,Married,3692,9256,1,No,12,High,High,Very High,12,2,Good,11,10,0,7
40,Karyawan Beratahan,Non-Travel,1151,Research & Development,9,Doctor,Life Sciences,Very High,Male,63,Medium,Advanced,Healthcare Representative,Very High,Married,4876,14242,9,No,14,High,Very High,Low,5,5,Low,3,2,0,2
31,Karyawan Beratahan,Travel_Rarely,746,Research & Development,8,Master,Life Sciences,High,Female,61,High,Advanced,Manufacturing Director,Very High,Single,4424,20682,1,No,23,Very High,Very High,Very High,11,2,Excellent,11,7,1,8
20,Karyawan Keluar,Travel_Rarely,1362,Research & Development,10,Below College,Medical,Very High,Male,32,High,Basic,Research Scientist,High,Single,1009,26999,1,Yes,11,High,Very High,Very High,1,5,Excellent,1,0,1,1
36,Karyawan Keluar,Travel_Rarely,318,Research & Development,9,Bachelor,Medical,Very High,Male,79,Medium,Basic,Research Scientist,High,Married,3388,21777,0,Yes,17,High,Low,Low,2,0,Good,1,0,0,0
35,Karyawan Beratahan,Travel_Frequently,944,Sales,1,Bachelor,Marketing,High,Female,92,High,Intermediate ,Sales Executive,High,Single,8789,9096,1,No,14,High,Low,Very High,10,3,Outstanding,10,7,0,8
24,Karyawan Beratahan,Travel_Rarely,1206,Research & Development,17,Below College,Medical,Very High,Female,41,Medium,Advanced,Manufacturing Director,High,Divorced,4377,24117,1,No,15,High,Medium,Medium,5,6,Excellent,4,2,3,2
23,Karyawan Beratahan,Travel_Rarely,373,Research & Development,1,College,Life Sciences,Very High,Male,47,High,Basic,Research Scientist,High,Married,1223,16901,1,No,22,Very High,Very High,Low,1,2,Excellent,1,0,0,1
28,Karyawan Beratahan,Travel_Rarely,1476,Research & Development,16,College,Medical,Medium,Male,68,Very High,Advanced,Healthcare Representative,Low,Single,5661,4824,0,No,19,High,High,Very High,9,2,Excellent,8,3,0,7
60,Karyawan Beratahan,Travel_Rarely,1179,Sales,16,Master,Marketing,Low,Male,84,High,Advanced,Sales Executive,Low,Single,5405,11924,8,No,14,High,Very High,Very High,10,1,Excellent,2,2,2,2
47,Karyawan Beratahan,Travel_Frequently,1379,Research & Development,16,Master,Medical,High,Male,64,Very High,Advanced,Manufacturing Director,High,Divorced,5067,6759,1,Yes,19,High,High,Very High,20,3,Outstanding,19,10,2,7
41,Karyawan Beratahan,Travel_Rarely,427,Human Resources,10,Master,Human Resources,Medium,Male,73,Medium,Advanced,Manager,Very High,Divorced,19141,8861,3,No,15,High,Medium,High,23,2,Good,21,6,12,6
24,Karyawan Beratahan,Travel_Rarely,477,Research & Development,24,Bachelor,Medical,Very High,Male,49,High,Basic,Laboratory Technician,Medium,Single,3597,6409,8,No,22,Very High,Very High,Very High,6,2,Excellent,4,3,1,2
29,Karyawan Beratahan,Travel_Rarely,1086,Research & Development,7,Below College,Medical,Low,Female,62,Medium,Basic,Laboratory Technician,Very High,Divorced,2532,6054,6,No,14,High,High,High,8,5,Excellent,4,3,0,3
37,Karyawan Keluar,Travel_Frequently,504,Research & Development,10,Bachelor,Medical,Low,Male,61,High,Intermediate ,Manufacturing Director,High,Divorced,10048,22573,6,No,11,High,Medium,Medium,17,5,Excellent,1,0,0,0
55,Karyawan Beratahan,Travel_Frequently,135,Research & Development,18,Master,Medical,High,Male,62,High,Advanced,Healthcare Representative,Medium,Married,6385,12992,3,Yes,14,High,Very High,Medium,17,3,Excellent,8,7,6,7
30,Karyawan Beratahan,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,Very High,Male,55,Medium,Advanced,Laboratory Technician,Very High,Married,5126,15998,1,Yes,12,High,High,Medium,10,1,Good,10,8,3,0
26,Karyawan Beratahan,Travel_Rarely,703,Sales,28,College,Marketing,Low,Male,66,High,Advanced,Sales Executive,Medium,Married,6272,7428,1,No,20,Very High,Very High,Medium,6,5,Outstanding,5,3,1,4
29,Karyawan Keluar,Travel_Rarely,318,Research & Development,8,Master,Other,Medium,Male,77,Low,Basic,Laboratory Technician,Low,Married,2119,4759,1,Yes,11,High,Very High,Very High,7,4,Good,7,7,0,7
25,Karyawan Keluar,Travel_Rarely,688,Research & Development,3,Bachelor,Medical,Low,Male,91,High,Basic,Laboratory Technician,Low,Married,4031,9396,5,No,13,High,High,Low,6,5,Excellent,2,2,0,2
37,Karyawan Beratahan,Travel_Rarely,1107,Research & Development,14,Bachelor,Life Sciences,Very High,Female,95,High,Basic,Laboratory Technician,Low,Divorced,3034,26914,1,No,12,High,High,Low,18,2,Good,18,7,12,17
36,Karyawan Beratahan,Travel_Rarely,1278,Human Resources,8,Bachelor,Life Sciences,Low,Male,77,Medium,Basic,Human Resources,Low,Married,2342,8635,0,No,21,Very High,High,Very High,6,3,Excellent,5,4,0,3
41,Karyawan Keluar,Non-Travel,906,Research & Development,5,College,Life Sciences,Low,Male,95,Medium,Basic,Research Scientist,Low,Divorced,2107,20293,6,No,17,High,Low,Low,5,2,Low,1,0,0,0
36,Karyawan Beratahan,Travel_Rarely,1174,Sales,3,Master,Marketing,Low,Female,99,High,Advanced,Sales Executive,Medium,Single,9278,20763,3,Yes,16,High,Very High,Very High,15,3,Excellent,5,4,0,1
38,Karyawan Beratahan,Travel_Rarely,1333,Research & Development,1,Bachelor,Technical Degree,Very High,Female,80,High,Intermediate ,Research Director,Low,Married,13582,16292,1,No,13,High,Medium,Low,15,3,Excellent,15,12,5,11
38,Karyawan Beratahan,Travel_Rarely,362,Research & Development,1,Below College,Life Sciences,High,Female,43,High,Basic,Research Scientist,Low,Single,2619,14561,3,No,17,High,Very High,Very High,8,3,Good,0,0,0,0
51,Karyawan Beratahan,Travel_Rarely,1318,Sales,26,Master,Marketing,Low,Female,66,High,Advanced,Manager,High,Married,16307,5594,2,No,14,High,High,Low,29,2,Good,20,6,4,17
37,Karyawan Beratahan,Travel_Rarely,1319,Research & Development,6,Bachelor,Medical,High,Male,51,Very High,Advanced,Research Scientist,Low,Divorced,5974,17001,4,Yes,13,High,Low,Medium,13,2,Excellent,7,7,6,7
20,Karyawan Keluar,Travel_Frequently,871,Research & Development,6,Bachelor,Life Sciences,Very High,Female,66,Medium,Basic,Laboratory Technician,Very High,Single,2926,19783,1,Yes,18,High,Medium,Very High,1,5,Excellent,1,0,1,0
45,Karyawan Beratahan,Travel_Rarely,974,Research & Development,1,Master,Medical,Very High,Female,91,High,Basic,Laboratory Technician,Very High,Divorced,2270,11005,3,No,14,High,Very High,Medium,8,2,Excellent,5,3,0,2
24,Karyawan Keluar,Travel_Rarely,984,Research & Development,17,College,Life Sciences,Very High,Female,97,High,Basic,Laboratory Technician,Medium,Married,2210,3372,1,No,13,High,Low,Low,1,3,Low,1,0,0,0
52,Karyawan Beratahan,Travel_Rarely,956,Research & Development,6,College,Technical Degree,Very High,Male,78,High,Advanced,Research Scientist,Low,Divorced,5577,22087,3,Yes,12,High,Medium,Medium,18,3,Excellent,10,9,6,9
49,Karyawan Beratahan,Travel_Rarely,1261,Research & Development,7,Bachelor,Other,Medium,Male,31,Medium,Intermediate ,Healthcare Representative,High,Single,10965,12066,8,No,24,Very High,High,Very High,26,2,Excellent,5,2,0,0
19,Karyawan Keluar,Travel_Rarely,528,Sales,22,Below College,Marketing,Very High,Male,50,High,Basic,Sales Representative,High,Single,1675,26820,1,Yes,19,High,Very High,Very High,0,2,Good,0,0,0,0
24,Karyawan Beratahan,Non-Travel,673,Research & Development,11,College,Other,Low,Female,96,Very High,Advanced,Manufacturing Director,High,Divorced,4011,8232,0,No,18,High,Very High,Low,5,5,Good,4,2,1,3
22,Karyawan Beratahan,Travel_Rarely,604,Research & Development,6,Below College,Medical,Low,Male,69,High,Basic,Research Scientist,High,Married,2773,12145,0,No,20,Very High,Very High,Very High,3,3,Excellent,2,2,2,2
42,Karyawan Beratahan,Travel_Frequently,570,Research & Development,8,Bachelor,Life Sciences,Medium,Male,66,High,Advanced,Manager,Very High,Divorced,18430,16225,1,No,13,High,Medium,Low,24,4,Good,24,7,14,9
33,Karyawan Beratahan,Travel_Frequently,1392,Research & Development,3,Master,Life Sciences,Very High,Female,56,High,Basic,Research Scientist,High,Married,2909,23159,1,Yes,11,High,High,Very High,8,3,Excellent,8,7,3,0
37,Karyawan Beratahan,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,Low,Male,51,Medium,Advanced,Manufacturing Director,High,Divorced,5993,2689,1,No,18,High,High,Low,7,2,Outstanding,7,5,0,7
39,Karyawan Beratahan,Travel_Frequently,1218,Research & Development,1,Below College,Life Sciences,Medium,Male,52,High,Advanced,Manager,High,Divorced,19197,8213,1,Yes,14,High,High,Low,21,3,Excellent,21,8,1,6
36,Karyawan Beratahan,Travel_Frequently,607,Sales,7,Bachelor,Marketing,Low,Female,83,Very High,Advanced,Sales Executive,Low,Married,4639,2261,2,No,16,High,Very High,Low,17,2,Good,15,7,6,13
50,Karyawan Beratahan,Travel_Rarely,1046,Research & Development,10,Bachelor,Technical Degree,Very High,Male,100,Medium,Intermediate ,Healthcare Representative,Very High,Single,10496,2755,6,No,15,High,Very High,Very High,20,2,Excellent,4,3,1,3
33,Karyawan Beratahan,Travel_Rarely,213,Research & Development,7,Bachelor,Medical,High,Male,49,High,Intermediate ,Research Director,High,Married,11691,25995,0,No,11,High,Very High,Very High,14,3,Outstanding,13,9,3,7
43,Karyawan Beratahan,Travel_Frequently,1001,Research & Development,9,Doctor,Medical,Very High,Male,72,High,Advanced,Laboratory Technician,High,Divorced,5679,19627,3,Yes,13,High,Medium,Low,10,3,Excellent,8,7,4,7
30,Karyawan Beratahan,Travel_Rarely,1275,Research & Development,28,College,Medical,Very High,Female,64,High,Advanced,Research Scientist,Very High,Married,5775,11934,1,No,13,High,Very High,Medium,11,2,Excellent,10,8,1,9
36,Karyawan Keluar,Travel_Rarely,1218,Sales,9,Master,Life Sciences,High,Male,82,Medium,Basic,Sales Representative,Low,Single,3407,6986,7,No,23,Very High,Medium,Very High,10,4,Excellent,5,3,0,3
27,Karyawan Beratahan,Travel_Rarely,1055,Research & Development,2,Master,Life Sciences,Low,Female,47,High,Advanced,Manufacturing Director,Very High,Married,4227,4658,0,No,18,High,Medium,Low,4,2,Excellent,3,2,2,2
42,Karyawan Beratahan,Travel_Rarely,469,Research & Development,2,College,Medical,Very High,Male,35,High,Advanced,Manager,Low,Married,17665,14399,0,No,17,High,Very High,Low,23,3,Excellent,22,6,13,7
36,Karyawan Keluar,Travel_Rarely,660,Research & Development,15,Bachelor,Other,Low,Male,81,High,Advanced,Laboratory Technician,High,Divorced,4834,7858,7,No,14,High,Medium,Low,9,3,Good,1,0,0,0
29,Karyawan Beratahan,Travel_Rarely,1329,Research & Development,7,Bachelor,Life Sciences,High,Male,82,High,Advanced,Healthcare Representative,Very High,Divorced,6623,4204,1,Yes,11,High,Medium,Medium,6,2,Excellent,6,0,1,0
37,Karyawan Beratahan,Travel_Rarely,482,Research & Development,3,Bachelor,Other,High,Male,36,High,Intermediate ,Manufacturing Director,High,Married,9434,9606,1,No,15,High,High,Low,10,2,Excellent,10,7,7,8
40,Karyawan Beratahan,Travel_Rarely,1416,Research & Development,2,College,Medical,Low,Male,49,High,Advanced,Research Director,High,Divorced,19436,5949,0,No,19,High,Very High,Low,22,5,Excellent,21,7,3,9
58,Karyawan Keluar,Travel_Rarely,286,Research & Development,2,Master,Life Sciences,Very High,Male,31,High,Advanced,Research Director,Medium,Single,19246,25761,7,Yes,12,High,Very High,Very High,40,2,Excellent,31,15,13,8
40,Karyawan Beratahan,Travel_Rarely,1308,Research & Development,14,Bachelor,Medical,High,Male,44,Medium,Advanced,Research Director,High,Single,19626,17544,1,No,14,High,Low,Very High,21,2,Outstanding,20,7,4,9
